Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jabari Smith Jr.,HOU,20,39,13,26,32.9,12.6,4.8,11.2,42.7,1.5,5,29.2,1.6,2.2,74.1,1.9,6.3,8.2,1.5,1.3,0.7,0.8,2.8,28.1,8,0,-4.4
Corey Kispert,WAS,25,40,8,32,24.9,12.5,4.5,10,45,2.2,5.9,37.7,1.3,1.8,74.6,0.5,2.5,3,2.2,1.2,0.6,0.2,1.7,20.6,1,0,-6.1
Max Strus,CLE,28,35,20,15,32.5,12.4,4.4,10.2,42.9,2.3,6.8,34.2,1.3,1.7,81,1.1,3.9,5,4.2,1.6,1,0.4,2.5,27,2,0,3.9
Aaron Nesmith,IND,24,37,19,18,28,12.4,4.5,9.3,48.1,2.1,5.1,40.2,1.4,1.9,75.4,0.9,3,3.9,1.5,0.8,0.7,0.6,3.6,22.7,1,0,1.9
Harrison Barnes,SAC,31,41,22,19,28.8,12.4,4.2,9,46.5,1.9,5.1,36.2,2.1,2.7,79.1,0.6,2.1,2.8,1,0.9,0.7,0.1,1.1,18.8,0,0,-1.6
Ayo Dosunmu,CHI,24,37,17,20,29.3,12.4,4.8,9.2,51.9,1.6,3.7,44.5,1.2,1.5,81.5,0.5,1.9,2.5,3.1,1.2,0.9,0.6,2.4,23.3,0,0,-3.2
Bennedict Mathurin,IND,21,28,14,14,23.9,12.3,4.3,10.1,42.6,0.9,3.1,27.9,2.8,3.6,78.2,0.8,2.5,3.3,1.5,1.7,0.3,0.3,1.6,18.6,1,0,-4.4
Cam Whitmore,HOU,19,25,7,18,20.1,12,4.2,10,42.2,1.7,4.8,34.7,1.8,2.6,70.8,1,3.3,4.3,1,1,0.5,0.4,1.6,20.5,1,0,0.6
Dalano Banton,POR,24,23,10,13,21.7,12,4.5,10.9,41.6,1.2,4.2,29.2,1.7,2.1,81.3,1,3,3.9,3,2,0.9,0.5,1.3,23.4,1,0,-5.7
Bobby Portis,MIL,29,40,18,22,24.9,12,4.8,10.2,47.2,0.9,2.8,33.6,1.4,1.9,75,1.5,5.8,7.3,1.2,1.2,0.9,0.4,2.2,25.3,6,0,-3.7
Nic Claxton,BKN,25,36,9,27,29.4,11.9,5.2,8.1,64.1,0,0.1,33.3,1.6,2.8,55.9,2.7,7.2,9.9,2,1.2,0.6,1.7,2.6,32.7,15,0,-7.2
Malik Beasley,MIL,27,40,18,22,29,11.9,4.3,9.6,44.8,3,7.3,41.7,0.3,0.4,78.6,0.3,3.1,3.4,1.2,0.7,0.6,0.1,1.9,19.2,1,0,3.3
Javonte Green,CHI,30,6,3,3,24.6,11.8,5,8.3,60,1.3,3.5,38.1,0.5,0.8,60,1.7,4.7,6.3,0.5,0.7,1.3,1,2.2,26.5,0,0,0.5
Mike Conley,MIN,36,37,24,13,29.2,11.7,3.9,8.4,46.5,2.4,5.3,44.6,1.5,1.6,93.3,0.5,2.5,2.9,5.6,1.4,0.8,0.2,1.5,25.4,3,0,2
Jonas Valanciunas,NOP,31,42,28,14,23.2,11.7,4.6,8.1,56.1,0.5,1.5,32.8,2,2.7,75.4,2,6.7,8.7,2.1,1.1,0.4,0.8,2.8,27.7,14,0,2
Jaime Jaquez Jr.,MIA,23,38,23,15,28.9,11.7,4.5,9.2,49.1,1,2.8,36.1,1.6,2,80.3,1.1,2.4,3.5,2.6,1.5,1.1,0.2,2.2,22.3,0,0,-0.7
Clint Capela,ATL,29,36,14,22,26.1,11.6,4.6,8.6,54,0,0,0,2.3,3.6,63.8,4.8,6.2,11,1.4,1.3,0.7,1.4,2.4,31.9,19,0,-1.4
Brook Lopez,MIL,36,37,17,20,30.1,11.6,4.3,9.2,46.8,1.6,4.8,33.1,1.3,1.5,89.1,1.6,3.4,5,1.5,0.9,0.5,2.3,2.5,27.2,3,0,2.2
Tyus Jones,WAS,27,36,7,29,29.4,11.5,4.8,10,47.9,1.6,3.8,41.9,0.4,0.5,77.8,0.3,2.2,2.5,7.4,0.9,1.3,0.3,0.7,29.2,5,0,-5.9
Cole Anthony,ORL,23,40,18,22,23.2,11.5,4.1,9.5,42.5,1.1,3.5,30.2,2.3,2.8,82.1,0.7,3,3.6,3,1.6,0.9,0.5,2.1,22.8,1,0,-0.2
Josh Giddey,OKC,21,41,24,17,25.4,11.4,4.7,10,47.5,1.1,2.9,37.6,0.9,1.1,78.3,1.4,4.7,6,4.8,2.1,0.7,0.4,1.5,27.3,5,2,1.5
Alec Burks,NYK,32,31,8,23,19.3,11.4,3.4,8.7,39.4,2,5,40.9,2.5,2.9,86.7,0.5,2.2,2.6,1.5,0.7,0.3,0.2,1.5,17.6,0,0,-3.8
Jalen Suggs,ORL,22,37,16,21,26.2,11.4,4.1,9.1,44.8,1.9,5.1,38.3,1.3,1.8,73.8,0.7,2.4,3.1,2.4,1.6,1.4,0.6,2.8,23,0,0,-3.6
Marvin Bagley III,WAS,25,26,4,22,20.7,11.2,4.7,8,58.4,0.1,0.2,33.3,1.8,2.3,75.4,2.8,3.1,6,1.3,1.3,0.5,0.8,1.3,22.8,5,0,-4.8
