Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Danilo Gallinari,MIL,35,21,6,15,12.8,5.4,1.4,3.6,39.5,0.5,1.9,25,2.1,2.3,91.7,0.5,1.8,2.2,1.5,0.5,0.2,0.1,1,11.1,0,0,-1.3
Evan Fournier,DET,31,14,4,10,17.1,5.4,1.9,5.7,33.8,0.7,3.3,21.7,0.9,1,85.7,0.1,1.8,1.9,1.8,0.6,0.9,0.1,1.6,12.8,0,0,-4.1
Matisse Thybulle,POR,27,34,11,23,24.3,5.4,1.9,4.9,39.3,1.2,3.4,35.3,0.3,0.5,68.8,0.6,2,2.6,1.6,0.7,2,1,1.5,19.3,0,0,-3.8
Matt Ryan,NOP,27,17,7,10,14.9,5.4,1.8,4.4,41.9,1.5,3.5,43.3,0.2,0.3,80,0.4,1.1,1.5,0.6,0.7,0.3,0.1,0.9,8.5,0,0,0.8
Kris Dunn,UTA,30,32,17,15,18.8,5.4,2.3,4.5,50.3,0.6,1.6,38,0.3,0.3,72.7,0.7,1.8,2.5,3.7,1.2,1.3,0.5,2.2,18.2,0,0,1.9
Pat Connaughton,MIL,31,37,27,10,23.1,5.4,2,4.9,40.6,0.9,3.1,30.1,0.5,0.6,86.4,0.6,2.4,3,2.7,0.7,0.7,0.3,1.5,15.4,0,0,2.7
Davion Mitchell,SAC,25,35,21,14,15.2,5.4,2.1,4.9,42.9,0.8,2.3,34.1,0.4,0.6,70,0.3,1,1.3,1.6,0.5,0.1,0,1.1,9.3,0,0,0
Doug McDermott,IND,32,30,11,19,14.2,5.3,1.8,4.3,43,1.4,3.4,41.7,0.2,0.4,54.5,0.1,0.8,0.9,1.2,0.4,0.1,0.1,1,8.3,0,0,-0.2
Richaun Holmes,WAS,30,21,7,14,13.9,5.2,2,3.3,62.3,0,0,0,1.1,1.4,80,1.9,2.9,4.7,0.6,0.8,0.3,0.4,1.9,13.1,2,0,-0.9
Jeff Dowtin Jr.,PHI,26,5,3,2,14.5,5.2,2.2,3.8,57.9,0.8,1.6,50,0,0.2,0,0,1,1,2.8,0.4,1,0.2,0,13.8,0,0,4.6
Nicolas Batum,PHI,35,30,22,8,25,5.2,2,4.4,44.7,1.1,3.1,36.6,0.1,0.1,100,1.3,2.9,4.2,2.1,0.8,1,0.7,1.9,17.7,0,0,5.1
Jock Landale,HOU,28,27,17,10,14,5.2,2,3.8,52.9,0.1,0.7,20,1,1.3,82.4,1.8,1.7,3.5,1.1,0.4,0.3,0.4,1.3,12.7,1,0,2.3
Ochai Agbaji,TOR,23,38,19,19,19.9,5.2,2,5.6,36,0.7,2.7,24,0.5,0.8,63.3,0.9,1.7,2.7,1,0.7,0.6,0.6,1.6,12.6,0,0,-1.3
Stanley Umude,DET,25,14,3,11,12.5,5.1,1.5,4,37.5,1.1,2.6,43.2,1,1.1,87.5,0.3,1.9,2.1,0.4,0.6,0.4,0.1,1.9,9.3,0,0,-2.6
Kenrich Williams,OKC,29,33,28,5,15.3,5.1,2,4.2,47.4,1.1,2.2,47.3,0.1,0.2,33.3,0.8,2.5,3.3,1.5,0.3,0.5,0.1,1.3,12.8,0,0,5.2
Nick Smith Jr.,CHA,20,25,5,20,13.5,5,2,5.2,37.7,1,2.4,41,0.1,0.2,75,0.4,0.9,1.2,1,0.7,0.3,0,1.2,8.3,0,0,-5.1
DeJon Jarreau,MEM,26,4,1,3,13.1,5,2,4.3,47.1,0,0.8,0,1,1,100,0.3,3.5,3.8,2.8,1,0.5,0.3,1.5,14.9,0,0,4
Isaiah Jackson,IND,22,30,20,10,10.7,5,1.9,3,62.2,0,0.1,0,1.3,1.7,76,1.1,1.5,2.6,0.5,0.4,0.3,0.9,2,12.1,0,0,0
Kobi Simmons,TOR,26,4,0,4,16.9,5,2.3,5.3,42.9,0.5,2,25,0,0,0,0.3,1.5,1.8,3,0.3,1.5,0.5,1.3,17.4,0,0,-7.8
Aleksej Pokusevski,CHA,22,15,8,7,12.8,4.9,1.5,3.9,39,0.5,2,26.7,1.3,1.9,69,0.5,2.4,2.9,0.7,0.5,0.3,0.5,0.5,11.3,0,0,-2.5
Joe Ingles,ORL,36,36,27,9,17.5,4.9,1.6,3.6,46.1,1.1,2.4,48.2,0.5,0.5,100,0.3,2.1,2.4,3.3,1.1,0.6,0.1,1.5,13.6,0,0,5.1
Goga Bitadze,ORL,24,34,26,8,14.4,4.9,1.9,3.1,61.7,0,0.2,16.7,1,1.5,66.7,1.7,2.6,4.2,1.2,0.7,0.4,1.2,1.6,16.1,2,0,2.2
Jules Bernard,WAS,24,8,0,8,8.8,4.9,1.9,3.9,48.4,0.8,1.8,42.9,0.4,0.6,60,0.6,0.9,1.5,1.3,0.4,0.1,0.1,0.4,8.9,0,0,4.8
Kobe Bufkin,ATL,20,8,6,2,12.2,4.9,2,5.8,34.8,0.6,2.5,25,0.3,0.5,50,0.5,1.3,1.8,1.8,0.5,0.8,0.5,1.3,12.9,0,0,-1.3
Isaiah Livers,DET,25,12,1,11,18.7,4.8,1.6,4.7,33.9,1.2,3.6,32.6,0.5,0.5,100,0.5,1.4,1.9,1.3,0.8,0.4,0.2,1.6,10.1,0,0,-9.7
Bismack Biyombo,OKC,31,17,8,9,20.5,4.8,1.9,3.2,61.1,0,0,0,0.9,1.5,61.5,1.6,3.6,5.2,0.8,0.9,0.3,0.9,2.2,14.8,1,0,-3.3
Eugene Omoruyi,WAS,27,17,2,15,10.1,4.8,1.8,4.1,44.9,0.2,1.2,20,0.9,1.4,69.6,1.3,1.5,2.8,0.8,0.3,0.7,0.2,1.4,12,1,0,-3.9
Monte Morris,MIN,28,22,13,9,14.6,4.8,1.7,4.9,35.5,0.8,2.2,37.5,0.5,0.7,68.8,0.2,1.6,1.8,2.2,0.1,0.7,0.3,0.5,13,0,0,2.5
Luke Kornet,BOS,28,30,27,3,15.2,4.8,2.1,3.2,65.6,0,0,0,0.6,0.6,100,2.1,2.4,4.4,0.9,0.2,0.3,1.1,1.2,15.4,1,0,5.2
MarJon Beauchamp,MIL,23,25,20,5,13.2,4.8,1.8,3.4,51.8,0.6,1.6,41,0.6,0.8,71.4,0.4,1.7,2.1,0.6,0.6,0.3,0.2,1.4,9.1,0,0,-0.6
Jarred Vanderbilt,LAL,25,16,10,6,19.7,4.8,1.9,3.5,55.4,0.3,0.9,35.7,0.6,1.1,50,1.5,3.5,5,1.3,0.9,1.1,0.1,1.2,15.3,0,0,2.1
Maxi Kleber,DAL,32,22,13,9,20,4.7,1.5,3.7,39.5,0.7,2.3,32,1.1,1.5,72.7,0.5,2.9,3.4,1.5,0.7,0.5,0.5,2,13.5,1,0,2.9
Anthony Gill,WAS,31,26,4,22,11.7,4.7,1.8,3.8,49,0.3,0.9,33.3,0.7,0.8,85.7,0.7,1.3,2,0.8,0.7,0.4,0.1,1.5,9.1,0,0,-1.6
Jae'Sean Tate,HOU,28,35,24,11,17.7,4.7,1.9,4,47.9,0.5,1.5,33.3,0.4,0.6,59.1,0.8,2.4,3.2,1.2,0.5,0.7,0.3,2.2,12.9,0,0,4.2
Svi Mykhailiuk,BOS,26,22,20,2,11.7,4.7,1.7,4.3,39.4,1.2,3.3,37,0.1,0.1,100,0.3,1.2,1.5,1,0.4,0.2,0,0.6,8.4,0,0,5.5
Jaxson Hayes,LAL,23,37,24,13,12.7,4.7,1.9,2.7,72.7,0,0.2,0,0.8,1.4,56.9,1.1,2.3,3.4,0.3,0.7,0.5,0.5,1.8,11.6,1,0,0.1
